Nom,Etat,Quality,Organization,Administration,Code Postale,Region,Total des classes,Nombre total d'étudiants
  م.إ. السوالمية ,Publique,excellent,  القيروان ,  سيدي عمر بوحجلة ,  03180 ,  ريفي ,  6 ,  84 
  م.إ. العزادنية ,Publique,excellent,  القيروان ,  سيدي عمر بوحجلة ,  03180 ,  ريفي ,  6 ,  42 
  م.إ. العواينية ,Publique,excellent,  القيروان ,  سيدي عمر بوحجلة ,  03145 ,  ريفي ,  3 ,  48 
  م.إ. أولاد بوحوش ,Publique,excellent,  القيروان ,  سيدي عمر بوحجلة ,  03180 ,  ريفي ,  12 ,  233 
  م.إ. بئر براقة ,Publique,excellent,  القيروان ,  سيدي عمر بوحجلة ,  03180 ,  ريفي ,  6 ,  112 
  م.إ. القصعات ,Publique,moyenne,  القيروان ,  سيدي عمر بوحجلة ,  03180 ,  ريفي ,  7 ,  159 
  م.إ. بئر المالح الشراردة المركز ,Publique,moyenne,  القيروان ,  الشراردة ,   ,  بلدي ,  21 ,  565 
  م.إ. بئر هويدي ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  152 
  م.إ. العوايد ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  10 ,  190 
  م.إ. حسين الغرسلاوي/بئرالحلو ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  9 ,  199 
  م.إ. بئر الوصفان ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  13 ,  281 
  م.إ. الشرايطية الجنوبية ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  10 ,  216 
  م.إ. التقدم ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  13 ,  315 
  م.إ.الادواز (مرزوق الفرخ) ,Publique,moyenne,  القيروان ,  الشراردة ,  03126 ,  ريفي ,  8 ,  186 
  م.إ. العواقبية ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  77 
  م.إ. ابن زلوش ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  89 
  م.إ. المساعدية الجنوبية ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  7 ,  142 
  م.إ. تيسير الشوايحية ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  116 
  م.إ. بئر الفيض ,Publique,moyenne,  القيروان ,  الشراردة ,  03145 ,  ريفي ,  6 ,  120 
  م.إ. بئر زروق ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  91 
  م.إ. الأمل ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  126 
  م.إ. الحرايرية ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  60 
  م.إ. العبايدية ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  126 
  م.إ. الشواشنية ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  31 
  م.إ. المزاهدية ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  100 
  م.إ. الطيب المهيري ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  بلدي ,  7 ,  151 
  م.إ. العهد الجديد ,Publique,moyenne,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  134 
  م.إ. الحدايدية ,Publique,excellent,  القيروان ,  الشراردة ,  03145 ,  ريفي ,  6 ,  113 
  م.إ. أولاد لحمــر ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  6 ,  60 
  م.إ. الهواني ,Publique,excellent,  القيروان ,  الشراردة ,  03116 ,  ريفي ,  7 ,  137 
  م.إ. المنارة ,Publique,excellent,  القيروان ,  الشراردة ,  03145 ,  ريفي ,  6 ,  54 
  م.إ. شارع بورقيبة ,Publique,moyenne,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  16 ,  342 
  م.إ. نهج 18 جانفي ,Publique,moyenne,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  14 ,  281 
  م.إ. حي حشاد ,Publique,moyenne,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  18 ,  392 
  م.إ. بوليفــة ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  52 
  م.إ. بن علية ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  12 ,  234 
  م.إ. المحطة ,Publique,moyenne,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  12 ,  327 
  م.إ. 2 مارس 34 ,Publique,moyenne,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  18 ,  442 
  م.إ. حي الزيتونة ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  14 ,  279 
  م.إ. برج العيفة ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  7 ,  130 
  م.إ. سيدي بومفتاح ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  7 ,  130 
  م.إ. محطة الزعفران ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  52 
  م.إ. قرين الكلخ ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  36 
  م.إ. وادي العين ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  97 
  م.إ. الجدارة ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  56 
  م.إ. صالح البحري ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  57 
  م.إ. حي يوغرطة ,Publique,moyenne,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  14 ,  390 
  م.إ. ابن خلدون ,Publique,moyenne,  الكاف ,  الكاف الشرقية ,   ,  بلدي ,  12 ,  257 
  م.إ. جبل كبوش ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  5 ,  43 
  م.إ. سيدي منصور ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  74 
  م.إ. بوجريدة ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  44 
  م.إ. الدليلة ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  2 ,  5 
  م.إ. الفراشيش ,Publique,excellent,  الكاف ,  الكاف الشرقية ,   ,  ريفي ,  6 ,  48 
  م.إ. برنوصة ,Publique,moyenne,  الكاف ,  الكاف الغربية ,   ,  بلدي ,  21 ,  531 
  م.إ. السمانة ,Publique,excellent,  الكاف ,  الكاف الغربية ,   ,  ريفي ,  6 ,  54 
  م.إ. سيدي عمر بن زغيد ,Publique,excellent,  الكاف ,  الكاف الغربية ,   ,  ريفي ,  6 ,  73 
  م.إ. حمام ملاق ,Publique,excellent,  الكاف ,  الكاف الغربية ,   ,  ريفي ,  3 ,  7 
  م.إ. النعيمة ,Publique,excellent,  الكاف ,  الكاف الغربية ,   ,  ريفي ,  5 ,  36 
  م.إ. حي البساتين ,Publique,moyenne,  الكاف ,  الكاف الغربية ,   ,  بلدي ,  18 ,  413 
  م.إ. حي الطيب المهيري ,Publique,moyenne,  الكاف ,  الكاف الغربية ,   ,  بلدي ,  13 ,  266 
  م.إ. سواني العنب1 ,Publique,moyenne,  الكاف ,  الكاف الغربية ,   ,  بلدي ,  13 ,  296 
  م.إ. حروش- حي الأنس ,Publique,moyenne,  الكاف ,  الكاف الغربية ,   ,  بلدي ,  14 ,  283 
  م.إ. الكردمي ,Publique,moyenne,  الكاف ,  الكاف الغربية ,   ,  ريفي ,  12 ,  254 
  م.إ. سواني العنب 2 ,Publique,moyenne,  الكاف ,  الكاف الغربية ,   ,  بلدي ,  17 ,  433 
  م.إ. القرية نبر ,Publique,excellent,  الكاف ,  نبر ,   ,  بلدي ,  11 ,  197 
  م.إ. سد ملاق ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  113 
  م.إ. غنجاتة ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  3 ,  29 
  م.إ. الطويرف ,Publique,moyenne,  الكاف ,  نبر ,   ,  بلدي ,  12 ,  262 
  م.إ. سيدي خيار نبر ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  108 
  م.إ. الوادي القديم ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  9 ,  151 
  م.إ. تل الغزلان ,Publique,moyenne,  الكاف ,  نبر ,   ,  ريفي ,  9 ,  185 
  م.إ. عين الهنشير ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  74 
  م.إ. المغاسل ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  114 
  م.إ. العرقوب الأحرش طريق الطويرف ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  65 
  م.إ. بئر بن شريفة ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  94 
  م.إ. الشتاتلة ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  3 ,  14 
  م.إ. الجهيني ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  91 
  م.إ. ولجة السدرة ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  38 
  م.إ. القصر الأحمر ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  111 
  م.إ. مركز بوزيد ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  76 
  م.إ. الحارة ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  5 ,  27 
  م.إ. حي النصر نبر ,Publique,excellent,  الكاف ,  نبر ,   ,  بلدي ,  12 ,  214 
  م.إ. الأذياب ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  3 ,  28 
  م.إ. الشعيبات ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  58 
  م.إ. الخدايجية ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  6 ,  115 
  م.إ. سركونة 1 ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  3 ,  16 
  م.إ. سركونة 2 ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  5 ,  30 
  م.إ. أحياء الطويرف ,Publique,excellent,  الكاف ,  نبر ,   ,  بلدي ,  6 ,  46 
  م.إ. الشتاتلة 2 ,Publique,excellent,  الكاف ,  نبر ,   ,  ريفي ,  3 ,  30 
  م.إ. 58/2/8الساقية ,Publique,moyenne,  الكاف ,  ساقية سيدي يوسف ,   ,  بلدي ,  22 ,  559 
  م.إ. 34/3/2الساقية ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  بلدي ,  7 ,  139 
  م.إ. عين القطار ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  3 ,  26 
  م.إ. عين أم الصبع ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  86 
  م.إ. عين السفاية ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  3 ,  11 
  م.إ. عين الكرمة ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  2 ,  8 
  م.إ. قرقور ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  3 ,  48 
  م.إ. ذراع البطوم ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  42 
  م.إ. سيدي رابح ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  102 
  م.إ. سيدي الوحيشي ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  3 ,  18 
  م.إ. الحبيبب ثامر ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  72 
  م.إ. الطابية ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  65 
  م.إ. الحزيم ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  3 ,  18 
  م.إ. عين مازر ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  52 
  م.إ. هنشير القصر ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  79 
  م.إ. المنجم ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  95 
  م.إ. الخروبة ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  6 ,  68 
  م.إ. الحفرة ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  3 ,  35 
  م.إ. القـل ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  2 ,  6 
  م.إ. عين النشيمة ,Publique,excellent,  الكاف ,  ساقية سيدي يوسف ,   ,  ريفي ,  3 ,  38 
  م.إ. شارع بورقيبة ,Publique,moyenne,  الكاف ,  تاجروين ,   ,  بلدي ,  17 ,  456 
  م.إ. نهج الجبل ,Publique,moyenne,  الكاف ,  تاجروين ,   ,  بلدي ,  12 ,  262 
  م.إ. النجاح ,Publique,moyenne,  الكاف ,  تاجروين ,   ,  بلدي ,  16 ,  395 
  م.إ. المحطة ,Publique,excellent,  الكاف ,  تاجروين ,   ,  بلدي ,  5 ,  37 
  م.إ. سيدي مطير ,Publique,moyenne,  الكاف ,  تاجروين ,   ,  ريفي ,  7 ,  160 
  م.إ. السبيعات ,Publique,excellent,  الكاف ,  تاجروين ,   ,  بلدي ,  6 ,  47 
  م.إ. منزل سالم ,Publique,excellent,  الكاف ,  تاجروين ,   ,  بلدي ,  6 ,  109 
  م.إ. بئرالنخلة ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  6 ,  77 
  م.إ. بوياقوم ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  6 ,  77 
  م.إ. جزة ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  6 ,  81 
  م.إ. سيدي مطير النجاة ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  5 ,  35 
  م.إ. قرن الحلفاية ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  3 ,  31 
  م.إ. عين مرادة ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  3 ,  30 
  م.إ. بئر خذر ,Publique,excellent,  الكاف ,  تاجروين ,   ,  بلدي ,  4 ,  32 
  م.إ. فج مجالد ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  6 ,  57 
  م.إ. السماعلة ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  5 ,  29 
  م.إ. خنقة العطش ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  6 ,  56 
  م.إ. برج الديوانة ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  3 ,  25 
  م.إ. بوغلابة ,Publique,excellent,  الكاف ,  تاجروين ,   ,  بلدي ,  4 ,  30 
  م.إ. 34/3/2تاجروين ,Publique,excellent,  الكاف ,  تاجروين ,   ,  بلدي ,  6 ,  115 
  م.إ. حي الساقية ,Publique,excellent,  الكاف ,  تاجروين ,   ,  بلدي ,  6 ,  100 
  م.إ. حي الطيب المهيري ,Publique,moyenne,  الكاف ,  تاجروين ,   ,  بلدي ,  6 ,  151 
  م.إ. الشمام ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  6 ,  32 
  م.إ. صدين ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  3 ,  9 
  م.إ. الغرايرية-2 مارس 34 ,Publique,excellent,  الكاف ,  تاجروين ,   ,  ريفي ,  4 ,  26 
  م.إ. المنجم الجريصة ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  6 ,  101 
  م.إ. عين القارصة ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  3 ,  20 
  م.إ. أم الكليل ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  6 ,  44 
  م.إ. النعايم ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  2 ,  7 
  م.إ. فج التمر ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  6 ,  61 
  م.إ. الحيادرة ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  4 ,  26 
  م.إ. حي المهندسين ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  5 ,  35 
  م.إ. بطحاء السوق ,Publique,moyenne,  الكاف ,  الجريصة ,   ,  بلدي ,  12 ,  241 
  م.إ. القراعية ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  3 ,  19 
  م.إ. وادي سراط ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  2 ,  7 
  م.إ. عين الزرقاء ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  6 ,  35 
  م.إ. علي بلهوان ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  2 ,  15 
  م.إ. 14 جانفي 2011 الجريصة ,Publique,excellent,  الكاف ,  الجريصة ,   ,  بلدي ,  9 ,  168 
  م.إ. 34/3/2قلعة سنان ,Publique,moyenne,  الكاف ,  قلعة سنان ,   ,  بلدي ,  14 ,  333 
  م.إ. النصر ,Publique,moyenne,  الكاف ,  قلعة سنان ,   ,  بلدي ,  14 ,  302 
  م.إ. المنجم ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  6 ,  45 
  م.إ. بوجابر ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  6 ,  70 
  م.إ. المحجوبة ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  6 ,  103 
  م.إ. الربيبة ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  6 ,  54 
  م.إ. الفالتة ,Publique,moyenne,  الكاف ,  قلعة سنان ,   ,  ريفي ,  6 ,  129 
  م.إ. عين عناق ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  5 ,  35 
  م.إ. الحميمة ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  5 ,  33 
  م.إ. واد بوصالح ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  4 ,  30 
  م.إ. بئر حميدة ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  6 ,  44 
  م.إ. بوهراوة ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  6 ,  46 
  م.إ. أولاد ابراهيم ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  ريفي ,  3 ,  21 
  م.إ. الجديدة ,Publique,moyenne,  الكاف ,  قلعة سنان ,   ,  بلدي ,  8 ,  160 
  م.إ. حي الملعب ,Publique,excellent,  الكاف ,  قلعة سنان ,   ,  بلدي ,  4 ,  45 
  م.إ. الناظور ,Publique,excellent,  الكاف ,  القلعة الخصبة ,   ,  ريفي ,  3 ,  17 
  م.إ. المنجم ,Publique,moyenne,  الكاف ,  القلعة الخصبة ,   ,  بلدي ,  10 ,  205 
  م.إ. الصلع ,Publique,excellent,  الكاف ,  القلعة الخصبة ,   ,  ريفي ,  3 ,  22 
  م.إ. القدح ,Publique,excellent,  الكاف ,  القلعة الخصبة ,   ,  ريفي ,  3 ,  22 
  م.إ. سيدي احمد الصالح ,Publique,excellent,  الكاف ,  القلعة الخصبة ,   ,  ريفي ,  6 ,  112 
  م.إ. القرية ,Publique,moyenne,  الكاف ,  القلعة الخصبة ,   ,  بلدي ,  6 ,  130 
  م.إ. المطار ,Publique,excellent,  الكاف ,  القلعة الخصبة ,   ,  ريفي ,  4 ,  19 
  م.إ. الحمايزية ,Publique,excellent,  الكاف ,  القلعة الخصبة ,   ,  ريفي ,  5 ,  38 
  م.إ. شاكر ,Publique,moyenne,  الكاف ,  الدهماني ,   ,  بلدي ,  17 ,  351 
  م.إ. 34/3/2 ,Publique,excellent,  الكاف ,  الدهماني ,   ,  بلدي ,  12 ,  237 
  م.إ. شارع بورقيبة ,Publique,moyenne,  الكاف ,  الدهماني ,   ,  بلدي ,  13 ,  301 
  م.إ. الإنطلاق ,Publique,excellent,  الكاف ,  الدهماني ,   ,  بلدي ,  6 ,  112 
  م.إ. عبيدة ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  10 ,  174 
  م.إ. العديسي ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  6 ,  78 
  م.إ. محطة الماسخية ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  4 ,  19 
  م.إ. الزوارين ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  7 ,  133 
  م.إ. التوابع ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  6 ,  72 
  م.إ. الزليقة ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  4 ,  20 
  م.إ. سيدي بركات ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  6 ,  61 
  م.إ. شركة الصابون ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  9 ,  179 
  م.إ. المدينة ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  6 ,  96 
  م.إ. سيدي عمر ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  6 ,  68 
  م.إ. الزدينة ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  3 ,  14 
  م.إ. الباطن ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  6 ,  68 
  م.إ. الإمام الأبي ,Publique,moyenne,  الكاف ,  الدهماني ,   ,  بلدي ,  13 ,  265 
  م.إ. الرفاهية ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  6 ,  66 
  م.إ. أولاد سلطان ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  6 ,  55 
  م.إ. الغوازي ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  2 ,  7 
  م.إ. الصويدات طريق ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  3 ,  23 
  م.إ. أولاد عيسى ,Publique,moyenne,  الكاف ,  الدهماني ,   ,  ريفي ,  7 ,  150 
  م.إ. الشعانبة ,Publique,excellent,  الكاف ,  الدهماني ,   ,  ريفي ,  5 ,  37 
  م.إ. 2 مارس 34 القصور ,Publique,moyenne,  الكاف ,  القصور ,   ,  بلدي ,  20 ,  473 
  م.إ. بانو ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  7 ,  136 
  م.إ. أولاد غانة ,Publique,moyenne,  الكاف ,  القصور ,   ,  ريفي ,  12 ,  252 
  م.إ. الزيتونة ,Publique,moyenne,  الكاف ,  القصور ,   ,  ريفي ,  6 ,  137 
  م.إ. جوف اللواتة ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  6 ,  71 
  م.إ. عين فضيل ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  6 ,  46 
  م.إ. العفسات ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  6 ,  53 
  م.إ. النور ,Publique,excellent,  الكاف ,  القصور ,   ,  بلدي ,  11 ,  198 
  م.إ. قيراطة ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  6 ,  78 
  م.إ. الزهيلة ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  4 ,  39 
  م.إ. الكدية ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  4 ,  30 
  م.إ. الحمارنة ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  6 ,  54 
  م.إ. أولاد بلغيث ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  5 ,  38 
  م.إ. أولاد بوراوي ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  3 ,  11 
  م.إ. أولاد زيد ,Publique,excellent,  الكاف ,  القصور ,   ,  ريفي ,  6 ,  40 
  م.إ. 2 مارس ,Publique,moyenne,  الكاف ,  السرس ,   ,  بلدي ,  19 ,  454 
  م.إ. حي الزهور ,Publique,moyenne,  الكاف ,  السرس ,   ,  بلدي ,  15 ,  311 
  م.إ. المرجى ,Publique,moyenne,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  131 
  م.إ. اللاس ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  118 
  م.إ. الأربص محطة ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  54 
  م.إ. الآبار ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  108 
  م.إ. مهدية بوصليعة ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  98 
  م.إ. الملاحة ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  4 ,  17 
  م.إ. سيدي موسى ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  66 
  م.إ. العرقوب ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  69 
  م.إ. الأربص قرية ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  118 
  م.إ. بئر حدي ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  3 ,  12 
  م.إ. سيدي نصر ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  51 
  م.إ. التريشة ,Publique,excellent,  الكاف ,  السرس ,   ,  ريفي ,  6 ,  28 
  م.إ. حي النور1 ,Publique,mauvaise,  الكاف ,  السرس ,   ,  بلدي ,  20 ,  630 
  م.إ. النور 2 ,Publique,excellent,  الكاف ,  السرس ,   ,  بلدي ,  6 ,  117 
  م.إ. غرة جوان المنستير ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  30 ,  900 
  م.إ. الصادق مزالي ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  14 ,  418 
  م.إ. عبد الله الزناد ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  13 ,  351 
  م.إ. الهادي نعمان ,Publique,moyenne,  المنستير ,  المنستير ,  05019 ,  بلدي ,  15 ,  414 
  م.إ. طريق القيروان ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  21 ,  572 
  م.إ. 2 مارس 34 سقانص ,Publique,moyenne,  المنستير ,  المنستير ,  05019 ,  بلدي ,  20 ,  582 
  م.إ. ابن خلدون خنيس ,Publique,moyenne,  المنستير ,  المنستير ,  05011 ,  بلدي ,  20 ,  591 
  م.إ. حي السلام ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  7 ,  184 
  م.إ. حي السعادة ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  27 ,  796 
  م.إ. الهادي يوسف خنيس ,Publique,moyenne,  المنستير ,  المنستير ,  05011 ,  بلدي ,  17 ,  483 
  م.إ. حي البساتين ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  24 ,  689 
  م.إ. طريق رمادة ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  12 ,  307 
  م.إ. السواني ,Publique,moyenne,  المنستير ,  المنستير ,  05000 ,  بلدي ,  26 ,  760 
  م.إ. حي العمران ,Publique,mauvaise,  المنستير ,  المنستير ,  05000 ,  بلدي ,  23 ,  747 
